"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","runoff","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version","fusion_ticket"
2012,"COLORADO","CO",8,84,62,"US HOUSE",3,"GEN",NA,FALSE,"SCOTT R TIPTON","R",FALSE,"TOTAL",185291,347247,FALSE,20230706,FALSE
2012,"COLORADO","CO",8,84,62,"US HOUSE",4,"GEN",NA,FALSE,"CORY GARDNER","R",FALSE,"TOTAL",200006,342336,FALSE,20230706,FALSE
2012,"COLORADO","CO",8,84,62,"US HOUSE",5,"GEN",NA,FALSE,"DOUG LAMBORN","R",FALSE,"TOTAL",199639,307231,FALSE,20230706,FALSE
2012,"COLORADO","CO",8,84,62,"US HOUSE",6,"GEN",NA,FALSE,"MIKE COFFMAN","R",FALSE,"TOTAL",163938,342914,FALSE,20230706,FALSE
2012,"COLORADO","CO",8,84,62,"US HOUSE",7,"GEN",NA,FALSE,"ED PERLMUTTER","D",FALSE,"TOTAL",182460,340970,FALSE,20230706,FALSE
2012,"CONNECTICUT","CT",9,16,1,"US HOUSE",1,"GEN",NA,FALSE,"JOHN B LARSON","D",FALSE,"TOTAL",192840,297061,FALSE,20230706,TRUE
2012,"CONNECTICUT","CT",9,16,1,"US HOUSE",2,"GEN",NA,FALSE,"JOE COURTNEY","D",FALSE,"TOTAL",189444,298960,FALSE,20230706,TRUE
2012,"CONNECTICUT","CT",9,16,1,"US HOUSE",3,"GEN",NA,FALSE,"ROSA L DELAURO","D",FALSE,"TOTAL",197163,291301,FALSE,20230706,TRUE
2012,"CONNECTICUT","CT",9,16,1,"US HOUSE",4,"GEN",NA,FALSE,"JAMES A HIMES","D",FALSE,"TOTAL",167320,293432,FALSE,20230706,TRUE
2012,"CONNECTICUT","CT",9,16,1,"US HOUSE",5,"GEN",NA,FALSE,"ELIZABETH ESTY","D",FALSE,"TOTAL",137631,284757,FALSE,20230706,TRUE
2012,"DELAWARE","DE",10,51,11,"US HOUSE",0,"GEN",NA,FALSE,"JOHN C CARNEY","D",FALSE,"TOTAL",249933,388059,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",1,"GEN",NA,FALSE,"JEFF MILLER","R",FALSE,"TOTAL",238440,342594,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",2,"GEN",NA,FALSE,"STEVE SOUTHERLAND II","R",FALSE,"TOTAL",175856,333718,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",3,"GEN",NA,FALSE,"TED YOHO","R",FALSE,"TOTAL",204331,315669,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",4,"GEN",NA,FALSE,"ANDER CRENSHAW","R",FALSE,"TOTAL",239988,315470,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",5,"GEN",NA,FALSE,"CORRINE BROWN","D",FALSE,"TOTAL",190472,269153,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",6,"GEN",NA,FALSE,"RON DESANTIS","R",FALSE,"TOTAL",195962,342451,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",7,"GEN",NA,FALSE,"JOHN L MICA","R",FALSE,"TOTAL",185518,316010,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",8,"GEN",NA,FALSE,"BILL POSEY","R",FALSE,"TOTAL",205432,348909,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",9,"GEN",NA,FALSE,"ALAN GRAYSON","D",FALSE,"TOTAL",164891,263747,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",10,"GEN",NA,FALSE,"DANIEL WEBSTER","R",FALSE,"TOTAL",164649,318269,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",11,"GEN",NA,FALSE,"RICHARD B NUGENT","R",FALSE,"TOTAL",218360,338663,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",12,"GEN",NA,FALSE,"GUS M BILIRAKIS","R",FALSE,"TOTAL",209604,330167,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",13,"GEN",NA,FALSE,"C W BILL YOUNG","R",FALSE,"TOTAL",189605,329347,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",14,"GEN",NA,FALSE,"KATHY CASTOR","D",FALSE,"TOTAL",197121,280601,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",15,"GEN",NA,FALSE,"DENNIS A ROSS","R",FALSE,"TOTAL",1,1,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",16,"GEN",NA,FALSE,"VERN BUCHANAN","R",FALSE,"TOTAL",187147,349076,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",17,"GEN",NA,FALSE,"THOMAS J ROONEY","R",FALSE,"TOTAL",165488,282266,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",18,"GEN",NA,FALSE,"PATRICK MURPHY","D",FALSE,"TOTAL",166257,330665,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",19,"GEN",NA,FALSE,"TREY RADEL","R",FALSE,"TOTAL",189833,306216,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",20,"GEN",NA,FALSE,"ALCEE L HASTINGS","D",FALSE,"TOTAL",214727,244285,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",21,"GEN",NA,FALSE,"THEODORE E DEUTCH","D",FALSE,"TOTAL",221263,284400,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",22,"GEN",NA,FALSE,"LOIS FRANKEL","D",FALSE,"TOTAL",171021,313071,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",23,"GEN",NA,FALSE,"DEBBIE WASSERMAN SCHULTZ","D",FALSE,"TOTAL",174205,275430,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",24,"GEN",NA,FALSE,"FREDERICA S WILSON","D",FALSE,"TOTAL",1,1,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",25,"GEN",NA,FALSE,"MARIO DIAZ-BALART","R",FALSE,"TOTAL",151466,200229,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",26,"GEN",NA,FALSE,"JOE GARCIA","D",FALSE,"TOTAL",135694,252957,FALSE,20230706,FALSE
2012,"FLORIDA","FL",12,59,43,"US HOUSE",27,"GEN",NA,FALSE,"ILEANA ROS-LEHTINEN","R",FALSE,"TOTAL",138488,230171,FALSE,20230706,FALSE
2012,"GEORGIA","GA",13,58,44,"US HOUSE",1,"GEN",NA,FALSE,"JACK KINGSTON","R",FALSE,"TOTAL",157181,249580,FALSE,20230706,FALSE
2012,"GEORGIA","GA",13,58,44,"US HOUSE",2,"GEN",NA,FALSE,"SANFORD D BISHOP JR","D",FALSE,"TOTAL",162751,255161,FALSE,20230706,FALSE
2012,"GEORGIA","GA",13,58,44,"US HOUSE",3,"GEN",NA,FALSE,"LYNN A WESTMORELAND","R",FALSE,"TOTAL",232380,232380,FALSE,20230706,FALSE
2012,"GEORGIA","GA",13,58,44,"US HOUSE",4,"GEN",NA,FALSE,"HENRY C ""HANK"" JOHNSON JR","D",FALSE,"TOTAL",208861,283902,FALSE,20230706,FALSE
2012,"GEORGIA","GA",13,58,44,"US HOUSE",5,"GEN",NA,FALSE,"JOHN LEWIS","D",FALSE,"TOTAL",234330,277665,FALSE,20230706,FALSE
2012,"GEORGIA","GA",13,58,44,"US HOUSE",6,"GEN",NA,FALSE,"TOM PRICE","R",FALSE,"TOTAL",189669,294034,FALSE,20230706,FALSE
2012,"GEORGIA","GA",13,58,44,"US HOUSE",7,"GEN",NA,FALSE,"ROB WOODALL","R",FALSE,"TOTAL",156689,252066,FALSE,20230706,FALSE
2012,"GEORGIA","GA",13,58,44,"US HOUSE",8,"GEN",NA,FALSE,"AUSTIN SCOTT","R",FALSE,"TOTAL",197789,197789,FALSE,20230706,FALSE
2012,"GEORGIA","GA",13,58,44,"US HOUSE",9,"GEN",NA,FALSE,"DOUG COLLINS","R",FALSE,"TOTAL",192101,252153,FALSE,20230706,FALSE
2012,"GEORGIA","GA",13,58,44,"US HOUSE",10,"GEN",NA,FALSE,"PAUL C BROUN","R",FALSE,"TOTAL",211065,211065,FALSE,20230706,FALSE
2012,"GEORGIA","GA",13,58,44,"US HOUSE",11,"GEN",NA,FALSE,"PHIL GINGREY","R",FALSE,"TOTAL",196968,287321,FALSE,20230706,FALSE
2012,"GEORGIA","GA",13,58,44,"US HOUSE",12,"GEN",NA,FALSE,"JOHN BARROW","D",FALSE,"TOTAL",139148,259121,FALSE,20230706,FALSE
2012,"GEORGIA","GA",13,58,44,"US HOUSE",13,"GEN",NA,FALSE,"DAVID SCOTT","D",FALSE,"TOTAL",201988,281538,FALSE,20230706,FALSE
2012,"GEORGIA","GA",13,58,44,"US HOUSE",14,"GEN",NA,FALSE,"TOM GRAVES","R",FALSE,"TOTAL",159947,219192,FALSE,20230706,FALSE
2012,"HAWAII","HI",15,95,82,"US HOUSE",1,"GEN",NA,FALSE,"COLLEEN W HANABUSA","D",FALSE,"TOTAL",116505,217876,FALSE,20230706,FALSE
2012,"HAWAII","HI",15,95,82,"US HOUSE",2,"GEN",NA,FALSE,"TULSI GABBARD","D",FALSE,"TOTAL",168503,219283,FALSE,20230706,FALSE
2012,"IDAHO","ID",16,82,63,"US HOUSE",1,"GEN",NA,FALSE,"RAUL R LABRADOR","R",FALSE,"TOTAL",199402,316724,FALSE,20230706,FALSE
2012,"IDAHO","ID",16,82,63,"US HOUSE",2,"GEN",NA,FALSE,"MICHAEL K SIMPSON","R",FALSE,"TOTAL",207412,318494,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",1,"GEN",NA,FALSE,"BOBBY L RUSH","D",FALSE,"TOTAL",236854,320844,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",2,"GEN",NA,FALSE,"JESSE L JACKSON JR","D",FALSE,"TOTAL",188303,297712,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",3,"GEN",NA,FALSE,"DANIEL LIPINSKI","D",FALSE,"TOTAL",168738,246398,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",4,"GEN",NA,FALSE,"LUIS V GUTIERREZ","D",FALSE,"TOTAL",133226,160509,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",5,"GEN",NA,FALSE,"MIKE QUIGLEY","D",FALSE,"TOTAL",177729,270377,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",6,"GEN",NA,FALSE,"PETER J ROSKAM","R",FALSE,"TOTAL",193138,326129,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",7,"GEN",NA,FALSE,"DANNY K DAVIS","D",FALSE,"TOTAL",242439,286435,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",8,"GEN",NA,FALSE,"TAMMY DUCKWORTH","D",FALSE,"TOTAL",123206,225066,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",9,"GEN",NA,FALSE,"JANICE D SCHAKOWSKY","D",FALSE,"TOTAL",194869,293807,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",10,"GEN",NA,FALSE,"BRAD SCHNEIDER","D",FALSE,"TOTAL",133890,264454,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",11,"GEN",NA,FALSE,"BILL FOSTER","D",FALSE,"TOTAL",148928,254295,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",12,"GEN",NA,FALSE,"WILLIAM L ENYART","D",FALSE,"TOTAL",157000,303949,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",13,"GEN",NA,FALSE,"RODNEY DAVIS","R",FALSE,"TOTAL",137034,294385,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",14,"GEN",NA,FALSE,"RANDY HULTGREN","R",FALSE,"TOTAL",177603,301954,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",15,"GEN",NA,FALSE,"JOHN SHIMKUS","R",FALSE,"TOTAL",205775,299937,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",16,"GEN",NA,FALSE,"ADAM KINZINGER","R",FALSE,"TOTAL",181789,294090,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",17,"GEN",NA,FALSE,"CHERI BUSTOS","D",FALSE,"TOTAL",153519,288161,FALSE,20230706,FALSE
2012,"ILLINOIS","IL",17,33,21,"US HOUSE",18,"GEN",NA,FALSE,"AARON SCHOCK","R",FALSE,"TOTAL",244467,329631,FALSE,20230706,FALSE
2012,"INDIANA","IN",18,32,22,"US HOUSE",1,"GEN",NA,FALSE,"PETER J VISCLOSKY","D",FALSE,"TOTAL",187743,279034,FALSE,20230706,FALSE
2012,"INDIANA","IN",18,32,22,"US HOUSE",2,"GEN",NA,FALSE,"JACKIE WALORSKI","R",FALSE,"TOTAL",134033,273475,FALSE,20230706,FALSE
