PRECINCT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREIMCM,G16PREGSTE,G16PREOWRI,Winner,Winner Votes
Heritage Hunt,1147,1408,43,25,4,34,G16PREDCLI,296146
Sudley,872,676,61,38,14,12,G16PREDCLI,296146
Mountain View,1151,1331,65,39,19,26,G16PREDCLI,296146
Catharpin,607,1016,40,33,8,7,G16PREDCLI,296146
Reagan,1106,1390,85,61,15,38,G16PREDCLI,296146
Lake Ridge,1112,734,56,40,14,12,G16PREDCLI,296146
Mohican,1206,730,67,43,23,19,G16PREDCLI,296146
McCoart,935,1077,72,40,11,16,G16PREDCLI,296146
Antietam,1428,743,102,48,24,29,G16PREDCLI,296146
East Shenandoah,587,1883,64,44,29,30,G16PREDCLI,296146
Town-West Shenandoah,368,791,27,16,16,14,G16PREDCLI,296146
Merrimans,1039,986,82,17,12,22,G16PREDCLI,296146
Old Town,744,792,70,25,23,16,G16PREDCLI,296146
Virginia Avenue,1143,710,78,26,30,9,G16PREDCLI,296146
War Memorial,972,862,96,16,20,15,G16PREDCLI,296146
Rolling Hills,827,961,45,32,8,14,G16PREDCLI,296146
Frederick Douglass,439,479,29,12,6,8,G16PREDCLI,296146
TOLBERT,1656,772,67,26,21,16,G16PREDCLI,296146
ROCK RIDGE,1370,519,36,30,13,20,G16PREDCLI,296146
MOOREFIELD STATION,1408,704,80,41,16,16,G16PREDCLI,296146
CARTER,788,279,30,23,13,11,G16PREDCLI,296146
DISCOVERY,370,263,10,6,5,6,G16PREDCLI,296146
DULLES SOUTH,1150,620,32,28,26,16,G16PREDCLI,296146
CASCADES,1516,868,106,46,26,28,G16PREDCLI,296146
MIRROR RIDGE,1444,557,67,50,25,25,G16PREDCLI,296146
HERITAGE CHURCH,965,740,51,36,19,14,G16PREDCLI,296146
HILLSIDE,1214,828,73,53,20,24,G16PREDCLI,296146
DRY MILL,581,462,59,32,12,11,G16PREDCLI,296146
CLARKES GAP,899,1232,57,36,13,22,G16PREDCLI,296146
Penn (CD 1),797,1041,65,33,10,17,G16PREDCLI,296146
Buckland Mills (CD 1),244,264,12,12,0,3,G16PREDCLI,296146
Burke-Nickens (CD 10),1228,1159,72,25,27,20,G16PREDCLI,296146
Buckland Mills (CD 10),844,595,28,26,8,8,G16PREDCLI,296146
J. L. Simpson,868,1177,52,45,10,24,G16PREDCLI,296146
ARCOLA,2208,1292,127,66,26,24,G16PREDCLI,296146
ASHBROOK,1112,505,55,19,19,10,G16PREDCLI,296146
WELLER,990,717,34,23,7,12,G16PREDCLI,296146
LEGACY,2481,1142,78,42,25,29,G16PREDCLI,296146
CREIGHTON'S CORNER,2046,1129,108,82,28,23,G16PREDCLI,296146
Newgate North,846,563,53,25,5,25,G16PREDCLI,296146
Newgate South,1228,1149,69,58,27,52,G16PREDCLI,296146
Dean,1853,1588,108,64,26,34,G16PREDCLI,296146
Mullen,1648,534,69,30,20,11,G16PREDCLI,296146
Metz,1587,1149,79,47,26,35,G16PREDCLI,296146
Baldwin,1869,978,102,50,32,30,G16PREDCLI,296146
Cedar Creek,49,79,2,0,0,0,G16PREDCLI,296146
Lebanon Church,328,1076,35,17,6,8,G16PREDCLI,296146
Bull Run,839,840,52,34,7,30,G16PREDCLI,296146
Virginia Run,1087,1073,69,29,11,33,G16PREDCLI,296146
PINEBROOK,2629,1599,125,68,36,30,G16PREDCLI,296146
EVERGREEN,1007,727,58,26,13,23,G16PREDCLI,296146
Precinct Three,1055,561,53,16,17,15,G16PREDCLI,296146
Signal Hill,922,998,56,37,9,15,G16PREDCLI,296146
Precinct One,1137,554,47,26,20,9,G16PREDCLI,296146
Yates Ford,662,929,52,34,11,30,G16PREDCLI,296146
NEWTOWN,808,1548,109,35,19,11,G16PREDCLI,296146
Riverton,436,1171,24,12,4,12,G16PREDCLI,296146
Haydon,1681,1233,97,41,35,15,G16PREDCLI,296146
Weems,1433,1005,102,44,28,40,G16PREDCLI,296146
Precinct Two,1012,618,62,15,8,7,G16PREDCLI,296146
Millwood,449,659,43,14,6,13,G16PREDCLI,296146
Buckmarsh,453,680,35,12,11,4,G16PREDCLI,296146
Pine Grove,191,312,19,10,3,6,G16PREDCLI,296146
