PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREOWRI,Winner,Winner Votes
Deer Park,2087,1121,58,27,G20PREDBID,390880
Spindle,1299,369,26,12,G20PREDBID,390880
Old Mill,1480,561,46,10,G20PREDBID,390880
Poplar Tree,1832,920,58,27,G20PREDBID,390880
Lees Corner,1572,637,44,15,G20PREDBID,390880
Carson,1959,686,26,20,G20PREDBID,390880
Stone South,1322,441,15,25,G20PREDBID,390880
Compton,522,222,11,0,G20PREDBID,390880
Difficult Run,495,347,7,5,G20PREDBID,390880
Chantilly,1796,691,18,22,G20PREDBID,390880
Armfield,1235,606,7,7,G20PREDBID,390880
Leeds,1338,1583,41,22,G20PREDBID,390880
The Plains,1804,1362,33,8,G20PREDBID,390880
Broad Run,727,989,31,11,G20PREDBID,390880
Vint Hill,803,1180,46,16,G20PREDBID,390880
Russells,362,1461,32,2,G20PREDBID,390880
Gore,799,2347,47,2,G20PREDBID,390880
Kernstown,720,1488,30,15,G20PREDBID,390880
Cedar Creek,724,1332,36,2,G20PREDBID,390880
Gainesborough,253,1227,19,0,G20PREDBID,390880
Albin,323,1064,22,7,G20PREDBID,390880
Redland,611,1840,37,10,G20PREDBID,390880
Nain,336,1028,26,7,G20PREDBID,390880
Clear Brook,366,1106,13,2,G20PREDBID,390880
White Hall,680,1560,37,14,G20PREDBID,390880
Parkin's Mill,1099,1546,58,7,G20PREDBID,390880
Neff's Town,1540,1747,41,12,G20PREDBID,390880
Carpers Valley,855,1229,30,18,G20PREDBID,390880
Shenandoah,528,929,28,0,G20PREDBID,390880
Canterburg,1217,1765,30,12,G20PREDBID,390880
Millbrook,803,1078,34,7,G20PREDBID,390880
Ash Hollow,1130,1163,37,7,G20PREDBID,390880
Greenwood,1671,1979,78,14,G20PREDBID,390880
Stephens City,1021,1352,34,7,G20PREDBID,390880
Armel,904,1261,61,0,G20PREDBID,390880
Little River,1277,916,31,14,G20PREDBID,390880
Mercer,1501,829,21,12,G20PREDBID,390880
Freedom,854,481,17,10,G20PREDBID,390880
Moorefield,1631,782,14,10,G20PREDBID,390880
Hutchison Farm,1462,899,21,5,G20PREDBID,390880
Cardinal Ridge,894,499,19,14,G20PREDBID,390880
Liberty,1054,472,10,10,G20PREDBID,390880
Lunsford,1617,827,28,10,G20PREDBID,390880
Town Hall,1190,625,43,12,G20PREDBID,390880
River Bend,971,628,28,12,G20PREDBID,390880
Algonkian,1297,671,33,14,G20PREDBID,390880
Potomac Falls,1287,756,45,19,G20PREDBID,390880
Sugarland North,1549,921,45,17,G20PREDBID,390880
Sugarland South,2365,1060,33,12,G20PREDBID,390880
Lowes Island,1598,908,43,14,G20PREDBID,390880
South Bank,1340,808,33,19,G20PREDBID,390880
University Center,1753,684,47,7,G20PREDBID,390880
St Louis,1092,739,24,5,G20PREDBID,390880
Countryside,733,343,21,5,G20PREDBID,390880
Galilee Church,1593,774,84,7,G20PREDBID,390880
Purcellville,952,1212,50,19,G20PREDBID,390880
Hillsboro,1092,1443,43,12,G20PREDBID,390880
Round Hill,1686,1679,45,7,G20PREDBID,390880
Philomont,840,844,19,10,G20PREDBID,390880
Middleburg,1369,713,17,7,G20PREDBID,390880
Aldie,830,569,7,9,G20PREDBID,390880
Mountain View,1467,1605,60,24,G20PREDBID,390880
Round Hill Elementary,1602,1771,40,28,G20PREDBID,390880
Briar Woods,1748,814,7,12,G20PREDBID,390880
Firehouse,524,630,12,5,G20PREDBID,390880
Creighton's Corner,2093,973,31,26,G20PREDBID,390880
Madison's Trust,1185,1288,45,14,G20PREDBID,390880
John Champe,1777,1128,26,5,G20PREDBID,390880
Legacy,1661,844,26,12,G20PREDBID,390880
Stone Hill,2434,827,33,17,G20PREDBID,390880
Brambleton Middle,1210,510,26,7,G20PREDBID,390880
West Lovettsville,2054,2381,79,24,G20PREDBID,390880
Waterford,1452,1633,72,32,G20PREDBID,390880
Lucketts,1715,1427,26,24,G20PREDBID,390880
Harper Park,869,553,12,9,G20PREDBID,390880
East Lovettsville,1097,1535,40,14,G20PREDBID,390880
Tuscarora,136,61,2,2,G20PREDBID,390880
Red Rock,1321,630,21,5,G20PREDBID,390880
Hamilton,1549,1781,52,28,G20PREDBID,390880
River Creek,845,853,10,14,G20PREDBID,390880
Between The Hills,253,289,19,2,G20PREDBID,390880
West Leesburg,1176,745,28,37,G20PREDBID,390880
Smarts Mill,1379,857,47,19,G20PREDBID,390880
Balls Bluff,1987,1106,65,12,G20PREDBID,390880
Heritage,642,540,5,14,G20PREDBID,390880
Farmwell Station,2083,908,24,12,G20PREDBID,390880
Ashby Ponds,918,617,7,7,G20PREDBID,390880
East Leesburg,2035,752,60,17,G20PREDBID,390880
Brandon Park,1180,488,40,14,G20PREDBID,390880
Greenway,592,457,12,28,G20PREDBID,390880
Cool Spring,1409,912,33,7,G20PREDBID,390880
Oak Grove,1477,356,14,5,G20PREDBID,390880
Eagle Ridge,1588,925,50,12,G20PREDBID,390880
Ridgetop,806,326,9,0,G20PREDBID,390880
Russell Branch,1953,990,50,12,G20PREDBID,390880
Dominion Trail,2196,1136,26,17,G20PREDBID,390880
Mill Run,675,450,14,5,G20PREDBID,390880
Sully,1724,780,43,9,G20PREDBID,390880
Sterling,1617,662,26,14,G20PREDBID,390880
Park View,1855,754,26,7,G20PREDBID,390880
Rolling Ridge,2608,691,47,17,G20PREDBID,390880
Forest Grove,2443,971,58,17,G20PREDBID,390880
Claude Moore Park,1428,474,26,9,G20PREDBID,390880
Seneca,1126,713,36,17,G20PREDBID,390880
Stone Bridge,1903,1041,60,26,G20PREDBID,390880
Cedar Lane,1792,905,43,14,G20PREDBID,390880
Seldens Landing,1695,686,33,19,G20PREDBID,390880
Newton-Lee,1185,1181,26,21,G20PREDBID,390880
Belmont Ridge,1088,632,19,19,G20PREDBID,390880
Sanders Corner,1943,1117,58,17,G20PREDBID,390880
Riverside,1151,621,28,9,G20PREDBID,390880
Belmont Station,1369,721,26,14,G20PREDBID,390880
Broad Run,1340,739,14,0,G20PREDBID,390880
Brentsville,1244,2221,51,0,G20PREDBID,390880
Glenkirk,1141,964,29,0,G20PREDBID,390880
Limestone,1653,1225,46,0,G20PREDBID,390880
Westgate,2396,725,19,0,G20PREDBID,390880
Coles,841,1021,56,0,G20PREDBID,390880
Bennett,1544,1206,61,0,G20PREDBID,390880
Ellis,2091,958,58,0,G20PREDBID,390880
Buckhall,2013,1484,79,0,G20PREDBID,390880
Yorkshire,4889,1560,82,0,G20PREDBID,390880
Lucasville,887,1168,56,0,G20PREDBID,390880
Tyler,2370,1134,63,0,G20PREDBID,390880
Evergreen,1221,1438,56,0,G20PREDBID,390880
Battlefield,1049,1173,49,0,G20PREDBID,390880
Bull Run,1329,787,29,0,G20PREDBID,390880
Unity Braxton,3127,1051,34,0,G20PREDBID,390880
Alvey,233,288,0,0,G20PREDBID,390880
Heritage Hunt,638,885,20,0,G20PREDBID,390880
Sudley,1855,958,29,0,G20PREDBID,390880
Mountain View,1337,891,45,0,G20PREDBID,390880
Catharpin,831,1074,29,0,G20PREDBID,390880
Reagan,1461,1303,59,0,G20PREDBID,390880
Lake Ridge,1734,779,34,0,G20PREDBID,390880
Mohican,1665,937,42,0,G20PREDBID,390880
McCoart,714,815,21,0,G20PREDBID,390880
Antietam,1726,1101,65,0,G20PREDBID,390880
East Shenandoah,876,2241,55,36,G20PREDBID,390880
Town-West Shenandoah,415,766,21,4,G20PREDBID,390880
Merrimans,938,952,22,11,G20PREDBID,390880
Old Town,694,675,40,22,G20PREDBID,390880
Virginia Avenue,1637,828,52,3,G20PREDBID,390880
War Memorial,1483,1072,38,6,G20PREDBID,390880
Rolling Hills,1006,1062,30,14,G20PREDBID,390880
Frederick Douglass,852,632,31,6,G20PREDBID,390880
Ashbrook,821,278,12,5,G20PREDBID,390880
Weller,1753,921,38,7,G20PREDBID,390880
Tolbert,2463,988,50,19,G20PREDBID,390880
Rock Ridge,1773,713,14,12,G20PREDBID,390880
Moorefield Station,2429,1056,63,9,G20PREDBID,390880
Carter,1107,363,14,7,G20PREDBID,390880
Discovery,592,260,5,0,G20PREDBID,390880
Dulles South,909,527,31,5,G20PREDBID,390880
Cascades,2132,914,63,19,G20PREDBID,390880
Mirror Ridge,1919,699,38,24,G20PREDBID,390880
Heritage Church,1345,795,24,9,G20PREDBID,390880
Hillside,1860,914,43,31,G20PREDBID,390880
Dry Mill,671,540,9,7,G20PREDBID,390880
Clarkes Gap,981,1214,31,14,G20PREDBID,390880
Sycolin Creek,879,908,28,12,G20PREDBID,390880
Arcola,1452,590,24,5,G20PREDBID,390880
Goshen Post,1602,811,52,7,G20PREDBID,390880
Buffalo Trail,1340,649,26,7,G20PREDBID,390880
Mullen,2960,766,24,0,G20PREDBID,390880
Cedar Creek,90,155,0,0,G20PREDBID,390880
Lebanon Church,570,1459,24,0,G20PREDBID,390880
Virginia Run,1679,1063,42,27,G20PREDBID,390880
Bull Run,1388,1074,18,17,G20PREDBID,390880
Pinebrook,1710,903,33,14,G20PREDBID,390880
Evergreen,1452,1177,28,7,G20PREDBID,390880
Precinct Three,1068,610,26,5,G20PREDBID,390880
Signal Hill,2137,1456,3,0,G20PREDBID,390880
Precinct One,1345,642,29,6,G20PREDBID,390880
Yates Ford,1375,1236,52,0,G20PREDBID,390880
Newtown,1265,2056,51,12,G20PREDBID,390880
Riverton,551,1522,30,7,G20PREDBID,390880
Haydon,1676,1095,47,10,G20PREDBID,390880
Dean,2029,867,41,8,G20PREDBID,390880
Round,1110,928,25,10,G20PREDBID,390880
Metz,1685,1201,43,13,G20PREDBID,390880
Precinct Two,1579,727,45,5,G20PREDBID,390880
Baldwin,1636,885,60,30,G20PREDBID,390880
Weems,2220,1280,64,5,G20PREDBID,390880
Pine Grove,397,376,16,12,G20PREDBID,390880
Millwood,491,726,24,0,G20PREDBID,390880
Buckmarsh,491,734,12,7,G20PREDBID,390880
Buckland Mills (CD 1),357,269,7,59,G20PREDBID,390880
Buckland Mills (CD 10),1593,592,33,68,G20PREDBID,390880
Burke-Nickens (CD 10),2160,1199,46,67,G20PREDBID,390880
Penn (CD 1),634,869,14,118,G20PREDBID,390880
