PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREOWRI,Winner,Winner Votes
Oak Knoll,363,991,30,2,G20PREDBID,315054
Wilmington Parish,573,1387,35,2,G20PREDBID,315054
Oak Hill,185,335,11,2,G20PREDBID,315054
Clay,573,952,17,11,G20PREDBID,315054
Shady Grove,687,1178,39,2,G20PREDBID,315054
Atlee,1671,2163,70,20,G20PREDBID,315054
Cool Spring,659,1047,26,9,G20PREDBID,315054
Battlefield,543,1604,26,4,G20PREDBID,315054
Cold Harbor,1181,2277,68,7,G20PREDBID,315054
Pebble Creek,761,961,32,7,G20PREDBID,315054
Beaverdam Creek,371,425,11,7,G20PREDBID,315054
Rural Point,630,1422,24,11,G20PREDBID,315054
Lee Davis,844,1608,34,9,G20PREDBID,315054
Mechanicsville,1116,1155,57,13,G20PREDBID,315054
Black Creek,605,2486,19,4,G20PREDBID,315054
Georgetown,436,869,32,0,G20PREDBID,315054
Laurel Meadow,646,1392,43,6,G20PREDBID,315054
Newman,795,1204,44,13,G20PREDBID,315054
Studley,473,1396,26,4,G20PREDBID,315054
Village,1214,2002,37,15,G20PREDBID,315054
Totopotomoy,342,1041,24,2,G20PREDBID,315054
Hanover Grove,490,893,17,2,G20PREDBID,315054
Farrington,642,1435,32,4,G20PREDBID,315054
Rockville,955,1821,32,15,G20PREDBID,315054
South Anna,559,1090,30,4,G20PREDBID,315054
Glen Allen,1307,1513,41,9,G20PREDBID,315054
Hunton,509,646,17,2,G20PREDBID,315054
Glen Lea,1376,209,20,4,G20PREDBID,315054
Wilder,1178,286,16,7,G20PREDBID,315054
Yellow Tavern,1549,825,26,11,G20PREDBID,315054
Antioch,551,1404,15,6,G20PREDBID,315054
Cedar Fork,1041,143,13,2,G20PREDBID,315054
Chickahominy,877,938,22,2,G20PREDBID,315054
Berkeley A,1337,1421,39,20,G20PREDBID,315054
Berkeley B,1383,1254,53,19,G20PREDBID,315054
Berkeley C,1174,1629,31,11,G20PREDBID,315054
Jamestown A,596,422,28,14,G20PREDBID,315054
Powhatan A,1220,1195,21,19,G20PREDBID,315054
Powhatan C,925,1271,15,7,G20PREDBID,315054
Powhatan D,2339,1263,63,15,G20PREDBID,315054
Jamestown C,1134,978,53,11,G20PREDBID,315054
Jamestown D,863,967,36,4,G20PREDBID,315054
Powhatan B,1065,490,21,7,G20PREDBID,315054
Owenton,614,414,10,5,G20PREDBID,315054
Clarks,307,605,16,0,G20PREDBID,315054
Shacklefords,323,495,13,2,G20PREDBID,315054
Courthouse,228,406,10,0,G20PREDBID,315054
Oldmill,118,530,15,4,G20PREDBID,315054
Courthouse,960,1717,62,15,G20PREDBID,315054
Passapatanzy,783,1216,41,8,G20PREDBID,315054
Dahlgren,1461,1777,62,10,G20PREDBID,315054
West Point,886,1411,45,8,G20PREDBID,315054
Sweet Hall,241,598,10,2,G20PREDBID,315054
Courthouse,347,647,11,0,G20PREDBID,315054
Aylett,500,1643,34,2,G20PREDBID,315054
Manquin,614,1563,23,0,G20PREDBID,315054
Mangohick,672,1458,19,2,G20PREDBID,315054
Precinct 1-1,619,826,15,0,G20PREDBID,315054
Precinct 2-1,718,423,12,3,G20PREDBID,315054
Precinct 3-1,360,739,7,0,G20PREDBID,315054
Precinct 4-1,912,427,17,0,G20PREDBID,315054
Precinct 5-1,603,942,15,8,G20PREDBID,315054
Bumpass,399,1156,27,6,G20PREDBID,315054
Piankatank,739,1589,33,2,G20PREDBID,315054
Saluda,147,212,2,2,G20PREDBID,315054
Urbanna,386,464,5,2,G20PREDBID,315054
New Market,458,1212,22,4,G20PREDBID,315054
Church View,584,724,20,9,G20PREDBID,315054
Harmony Village,465,626,14,4,G20PREDBID,315054
Wilton,451,958,14,0,G20PREDBID,315054
Tunstall,248,632,5,0,G20PREDBID,315054
Southern Branch,513,1567,15,5,G20PREDBID,315054
Quinton,653,1092,25,7,G20PREDBID,315054
Kentwood,395,951,12,2,G20PREDBID,315054
Mountcastle,306,580,22,7,G20PREDBID,315054
Precinct 1-1,689,859,22,4,G20PREDBID,315054
Brentsville,1244,2221,51,0,G20PREDBID,315054
Cedar Point,1636,1374,63,0,G20PREDBID,315054
Glenkirk,1141,964,29,0,G20PREDBID,315054
Nokesville,1112,1683,54,0,G20PREDBID,315054
Limestone,1653,1225,46,0,G20PREDBID,315054
Westgate,2396,725,19,0,G20PREDBID,315054
Chris Yung,1976,1078,51,0,G20PREDBID,315054
Coles,841,1021,56,0,G20PREDBID,315054
Victory,2459,1418,51,0,G20PREDBID,315054
Saunders,1331,802,48,0,G20PREDBID,315054
Bennett,1544,1206,61,0,G20PREDBID,315054
Ellis,2091,958,58,0,G20PREDBID,315054
Buckhall,2013,1484,79,0,G20PREDBID,315054
Marshall,956,1024,37,0,G20PREDBID,315054
Spriggs,1999,1062,29,0,G20PREDBID,315054
Hylton,685,883,10,0,G20PREDBID,315054
Independent Hill,617,1008,44,0,G20PREDBID,315054
Yorkshire,4889,1560,82,0,G20PREDBID,315054
Saratoga,1676,486,31,0,G20PREDBID,315054
Lucasville,887,1168,56,0,G20PREDBID,315054
Rosa Parks,1137,838,25,0,G20PREDBID,315054
Forest Park,1648,639,19,0,G20PREDBID,315054
Dumfries,1158,561,22,0,G20PREDBID,315054
Graham Park,1174,469,33,0,G20PREDBID,315054
Quantico,558,348,14,0,G20PREDBID,315054
Henderson,1124,812,39,0,G20PREDBID,315054
Pattie,1434,972,37,0,G20PREDBID,315054
Washington-Reid,1065,594,21,0,G20PREDBID,315054
Ashland,921,747,21,0,G20PREDBID,315054
Montclair,1088,712,17,0,G20PREDBID,315054
Swans Creek,2383,1069,25,0,G20PREDBID,315054
Cardinal,1584,522,19,0,G20PREDBID,315054
Cabin Branch,1141,616,19,0,G20PREDBID,315054
Tyler,2370,1134,63,0,G20PREDBID,315054
Unity Braxton,3127,1051,34,0,G20PREDBID,315054
Sudley,1855,958,29,0,G20PREDBID,315054
Lake Ridge,1734,779,34,0,G20PREDBID,315054
Old Bridge,1301,661,22,0,G20PREDBID,315054
Mohican,1665,937,42,0,G20PREDBID,315054
Springwoods,1388,476,26,0,G20PREDBID,315054
Westridge,1809,787,29,0,G20PREDBID,315054
McCoart,714,815,21,0,G20PREDBID,315054
Antietam,1726,1101,65,0,G20PREDBID,315054
Chinn,1246,815,40,0,G20PREDBID,315054
Minnieville,1466,792,45,80,G20PREDBID,315054
Enterprise,1511,808,56,0,G20PREDBID,315054
Beville,1983,841,31,0,G20PREDBID,315054
Kerrydale,1511,808,56,0,G20PREDBID,315054
Neabsco,1406,645,17,0,G20PREDBID,315054
Precinct 4-1,274,723,3,7,G20PREDBID,315054
Precinct 5-1,264,699,7,0,G20PREDBID,315054
Partlow,708,2102,54,5,G20PREDBID,315054
Blaydes Corner,918,1925,29,9,G20PREDBID,315054
Massaponax,1148,1684,63,14,G20PREDBID,315054
Plank Road,1592,1359,60,20,G20PREDBID,315054
Hazel Run,1472,1046,52,9,G20PREDBID,315054
Riverbend,1369,1786,49,16,G20PREDBID,315054
Summit,2186,1857,66,9,G20PREDBID,315054
Battlefield,1628,1156,41,9,G20PREDBID,315054
Lee Hill,2054,1511,61,25,G20PREDBID,315054
Hartwood,1440,3205,90,15,G20PREDBID,315054
Rocky Run,1087,1035,49,18,G20PREDBID,315054
Simpson,984,1285,47,15,G20PREDBID,315054
College,1735,2015,84,39,G20PREDBID,315054
Rock Hill,1473,1309,61,10,G20PREDBID,315054
Roseville,1567,1416,49,17,G20PREDBID,315054
Ruby,992,1873,61,10,G20PREDBID,315054
Harbour,1223,1149,51,17,G20PREDBID,315054
Stefaniga,1284,1414,28,13,G20PREDBID,315054
Griffis,1818,646,28,8,G20PREDBID,315054
Drew,1501,1456,74,8,G20PREDBID,315054
Barrett,1124,647,24,2,G20PREDBID,315054
Courthouse,2232,1061,61,8,G20PREDBID,315054
Grafton,1477,1958,53,10,G20PREDBID,315054
Falmouth,1366,1257,47,26,G20PREDBID,315054
Brooke,1465,1869,68,15,G20PREDBID,315054
Government Island,1608,1444,68,17,G20PREDBID,315054
Gayle,1461,628,14,8,G20PREDBID,315054
Ferry Farm,980,1428,53,13,G20PREDBID,315054
Chatham,1546,1598,57,10,G20PREDBID,315054
White Oak,1260,2452,74,13,G20PREDBID,315054
England Run,1765,646,33,6,G20PREDBID,315054
Woodlands,2019,1551,47,17,G20PREDBID,315054
Whitson,2014,943,43,12,G20PREDBID,315054
Hampton,1801,1600,45,20,G20PREDBID,315054
Precinct 1-1,779,342,5,0,G20PREDBID,315054
Precinct 1-2,353,210,8,0,G20PREDBID,315054
Precinct 3-1,397,455,6,9,G20PREDBID,315054
Precinct 3-2,471,545,4,0,G20PREDBID,315054
Precinct 4-1,691,1550,19,4,G20PREDBID,315054
Precinct 5-1,949,1214,39,7,G20PREDBID,315054
District 2,1633,972,59,22,G20PREDBID,315054
District 4 - Precinct 1,1412,390,21,7,G20PREDBID,315054
District 4 - Precinct 2,1267,420,19,14,G20PREDBID,315054
Berkeley D,436,469,17,5,G20PREDBID,315054
Mullen,2960,766,24,0,G20PREDBID,315054
Ben Lomond,1797,655,51,0,G20PREDBID,315054
3A,883,311,8,0,G20PREDBID,315054
Williams,913,241,14,0,G20PREDBID,315054
Potomac,1221,325,14,0,G20PREDBID,315054
District 1,2572,1256,79,10,G20PREDBID,315054
District 3,1633,999,62,15,G20PREDBID,315054
Westville,634,1341,28,8,G20PREDBID,315054
Chesapeake,452,971,26,3,G20PREDBID,315054
Eltham,468,770,12,2,G20PREDBID,315054
Chickahominy River,429,1248,18,3,G20PREDBID,315054
Watkins,659,730,20,2,G20PREDBID,315054
Cumberland,434,988,19,3,G20PREDBID,315054
Providence Forge,516,1073,24,8,G20PREDBID,315054
Precinct 1-1,887,836,28,1,G20PREDBID,315054
Precinct 2-1,828,452,13,0,G20PREDBID,315054
South,679,1231,16,0,G20PREDBID,315054
Central,618,850,7,0,G20PREDBID,315054
Bull Run,1388,1074,18,17,G20PREDBID,315054
Brandy Station,865,1649,33,5,G20PREDBID,315054
Freedom,1671,469,22,0,G20PREDBID,315054
Blunts,720,1066,28,4,G20PREDBID,315054
Beaverdam,618,2163,48,13,G20PREDBID,315054
Aquia,919,269,20,4,G20PREDBID,315054
Widewater,2104,1482,47,17,G20PREDBID,315054
Shallow Well,891,1297,28,7,G20PREDBID,315054
Sheltons Mill,620,1376,18,9,G20PREDBID,315054
Centerville,588,889,26,2,G20PREDBID,315054
Shady Grove,1528,1576,36,11,G20PREDBID,315054
Rivers Edge,1470,1329,24,11,G20PREDBID,315054
Montpelier,1120,1493,30,4,G20PREDBID,315054
West Hanover,259,518,2,2,G20PREDBID,315054
Locust Creek,585,1401,23,2,G20PREDBID,315054
Yates Ford,1375,1236,52,0,G20PREDBID,315054
Waller Mill,1286,1437,51,19,G20PREDBID,315054
Stryker,2804,1280,55,20,G20PREDBID,315054
Stonehouse A,2627,2845,71,18,G20PREDBID,315054
Stonehouse B,2239,2239,76,7,G20PREDBID,315054
Stonehouse C,1616,2179,39,15,G20PREDBID,315054
North,1014,464,13,3,G20PREDBID,315054
Port Royal,361,412,12,0,G20PREDBID,315054
Sparta,523,811,12,2,G20PREDBID,315054
Nandua,472,764,20,4,G20PREDBID,315054
5A,636,1306,18,5,G20PREDBID,315054
4A,622,1202,11,8,G20PREDBID,315054
Precinct 3-2,156,340,5,5,G20PREDBID,315054
Haydon,1676,1095,47,10,G20PREDBID,315054
Dean,2029,867,41,8,G20PREDBID,315054
Round,1110,928,25,10,G20PREDBID,315054
Metz,1685,1201,43,13,G20PREDBID,315054
Precinct Two,1579,727,45,5,G20PREDBID,315054
Hampton,1528,505,8,0,G20PREDBID,315054
Fitzgerald,2000,766,22,0,G20PREDBID,315054
Marsteller,1653,1233,44,0,G20PREDBID,315054
Bristow Run,737,494,19,0,G20PREDBID,315054
Piney Branch,754,597,17,59,G20PREDBID,315054
Precinct 2-2,219,516,6,2,G20PREDBID,315054
Precinct 2-1,642,486,3,2,G20PREDBID,315054
Ashland,983,777,26,9,G20PREDBID,315054
Elmont,873,1524,30,17,G20PREDBID,315054
1A,543,794,10,3,G20PREDBID,315054
2A,568,872,9,6,G20PREDBID,315054
Precinct 2-1,317,478,10,2,G20PREDBID,315054
Precinct 3-1,158,350,4,2,G20PREDBID,315054
Precinct 1-1,500,297,7,0,G20PREDBID,315054
Precinct 5-1,756,730,18,3,G20PREDBID,315054
Precinct 4-1,463,568,13,0,G20PREDBID,315054
Monroe,911,1777,92,12,G20PREDBID,315054
Shiloh,1289,1959,57,15,G20PREDBID,315054
Roberts D (CD 2),1232,1317,54,18,G20PREDBID,315054
Roberts D (CD 1),0,6,0,0,G20PREDBID,315054
Jamestown B (CD 1),1865,885,39,11,G20PREDBID,315054
Jamestown B (CD 2),6,5,0,0,G20PREDBID,315054
Matoaka,1986,683,37,18,G20PREDBID,315054
Buckland Mills (CD 1),357,269,7,59,G20PREDBID,315054
Buckland Mills (CD 10),1593,592,33,68,G20PREDBID,315054
Burke-Nickens (CD 10),2160,1199,46,67,G20PREDBID,315054
Burke-Nickens (CD 1),51,35,5,29,G20PREDBID,315054
Penn (CD 1),634,869,14,118,G20PREDBID,315054
Penn (CD 11),76,71,8,0,G20PREDBID,315054
King (CD 1),69,16,5,0,G20PREDBID,315054
King (CD 11),1819,763,39,20,G20PREDBID,315054
Triangle (CD 1),427,81,10,29,G20PREDBID,315054
Triangle (CD 11),1128,671,33,61,G20PREDBID,315054
Parkside (CD 1),1506,1018,52,2,G20PREDBID,315054
Gayle (CD 1),110,232,14,0,G20PREDBID,315054
Fairview (CD 1),292,262,11,4,G20PREDBID,315054
Fairview (CD 7),631,561,18,7,G20PREDBID,315054
Parkside (CD 7),669,454,21,5,G20PREDBID,315054
Gayle (CD 7),1077,937,41,9,G20PREDBID,315054
Brents Mill (CD 1),1109,796,25,16,G20PREDBID,315054
Brents Mill (CD 7),837,658,19,5,G20PREDBID,315054
Travelers Rest (CD 7),1326,1801,51,18,G20PREDBID,315054
Travelers Rest (CD 1),22,0,0,0,G20PREDBID,315054
