PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREOWRI,Winner,Winner Votes
Palmyra,1712,1678,36,13,G20PREDBID,299975
Columbia,1437,1601,46,17,G20PREDBID,299975
Three Square,398,392,6,0,G20PREDBID,299975
Clay,573,952,17,11,G20PREDBID,299975
Atlee,1671,2163,70,20,G20PREDBID,299975
Farrington,642,1435,32,4,G20PREDBID,299975
Rockville,955,1821,32,15,G20PREDBID,299975
Coalpit,1605,1515,48,6,G20PREDBID,299975
Dumbarton,1959,564,49,4,G20PREDBID,299975
Glen Allen,1307,1513,41,9,G20PREDBID,299975
Greendale,2007,1079,31,18,G20PREDBID,299975
Hermitage,1737,1009,51,9,G20PREDBID,299975
Hunton,509,646,17,2,G20PREDBID,299975
Johnson,2378,899,38,27,G20PREDBID,299975
Longan,1615,1101,48,9,G20PREDBID,299975
Maude Trevvett,717,480,17,7,G20PREDBID,299975
Monument Hills,773,463,19,15,G20PREDBID,299975
Westwood,1130,655,24,9,G20PREDBID,299975
Highland Gardens,933,41,14,4,G20PREDBID,299975
Hungary Creek,1359,1173,44,0,G20PREDBID,299975
Staples Mill,1235,1180,46,9,G20PREDBID,299975
Lakeside,2121,1274,62,21,G20PREDBID,299975
Greenwood,1120,289,22,2,G20PREDBID,299975
Azalea,3197,223,36,4,G20PREDBID,299975
Canterbury,340,296,2,0,G20PREDBID,299975
Glen Lea,1376,209,20,4,G20PREDBID,299975
Belmont,1854,701,48,7,G20PREDBID,299975
Chamberlayne,1671,550,24,2,G20PREDBID,299975
Brookland,458,328,12,0,G20PREDBID,299975
Hungary,1310,303,24,4,G20PREDBID,299975
Longdale,1348,560,33,0,G20PREDBID,299975
Mountain,558,261,3,2,G20PREDBID,299975
Oakview,122,74,3,0,G20PREDBID,299975
Randolph,360,59,3,4,G20PREDBID,299975
Wilder,1178,286,16,7,G20PREDBID,299975
Yellow Tavern,1549,825,26,11,G20PREDBID,299975
Godwin,873,794,10,11,G20PREDBID,299975
Stratford Hall,208,164,17,2,G20PREDBID,299975
Ridge,967,630,26,9,G20PREDBID,299975
Stoney Run,1365,1374,36,9,G20PREDBID,299975
Tucker,2353,710,48,15,G20PREDBID,299975
Cedarfield,811,872,38,6,G20PREDBID,299975
Pocahontas,1262,888,19,13,G20PREDBID,299975
Innsbrook,1383,1048,43,9,G20PREDBID,299975
Jackson Davis,832,746,12,7,G20PREDBID,299975
Gayton,880,1034,33,17,G20PREDBID,299975
Quioccasin,1497,949,31,13,G20PREDBID,299975
Springfield,1252,676,22,11,G20PREDBID,299975
Three Chopt,1456,1242,43,7,G20PREDBID,299975
Crestview,1741,901,36,17,G20PREDBID,299975
Derbyshire,1043,1005,22,11,G20PREDBID,299975
Freeman,1043,803,35,9,G20PREDBID,299975
Lakewood,866,807,21,13,G20PREDBID,299975
Maybeury,1355,1035,31,17,G20PREDBID,299975
Mooreland,703,872,19,9,G20PREDBID,299975
Pinchbeck,1803,1048,46,17,G20PREDBID,299975
Ridgefield,1394,1408,48,15,G20PREDBID,299975
Rollingwood,1238,792,55,11,G20PREDBID,299975
Skipwith,909,567,7,5,G20PREDBID,299975
Spottswood,732,507,12,9,G20PREDBID,299975
Tuckahoe,1019,1254,41,18,G20PREDBID,299975
Welborne,1245,703,43,11,G20PREDBID,299975
Pemberton,1425,803,22,17,G20PREDBID,299975
Zion,922,1309,25,4,G20PREDBID,299975
Mechanicsville,577,788,29,0,G20PREDBID,299975
Louisa #1,500,668,10,2,G20PREDBID,299975
Louisa #2,504,838,18,2,G20PREDBID,299975
Mineral,573,1323,20,2,G20PREDBID,299975
Fredericks Hall,487,355,10,4,G20PREDBID,299975
Cuckoo,380,751,17,2,G20PREDBID,299975
Elk Creek,294,714,9,4,G20PREDBID,299975
Bumpass,399,1156,27,6,G20PREDBID,299975
Precinct 1-1,252,557,5,0,G20PREDBID,299975
Precinct 1-2,243,424,10,0,G20PREDBID,299975
Precinct 2-1,550,675,9,2,G20PREDBID,299975
Precinct 2-2,101,348,9,0,G20PREDBID,299975
Precinct 3-1,368,280,10,0,G20PREDBID,299975
Precinct 3-2,127,358,7,0,G20PREDBID,299975
Precinct 4-1,608,158,2,0,G20PREDBID,299975
Precinct 4-2,235,689,5,0,G20PREDBID,299975
Precinct 5-1,487,538,15,6,G20PREDBID,299975
Two East,567,1450,38,6,G20PREDBID,299975
Three East,215,552,3,2,G20PREDBID,299975
Four West,544,1584,32,2,G20PREDBID,299975
Four East,1183,1290,56,7,G20PREDBID,299975
Five South,1137,1405,24,9,G20PREDBID,299975
Five North,1193,1446,27,13,G20PREDBID,299975
Subletts,494,1353,35,10,G20PREDBID,299975
Manakin,477,1015,18,6,G20PREDBID,299975
Flat Rock,296,885,22,0,G20PREDBID,299975
Powhatan Station,418,1353,35,3,G20PREDBID,299975
Graceland,557,1790,43,2,G20PREDBID,299975
Bethesda,474,1250,39,1,G20PREDBID,299975
Lee's Landing,484,1141,20,3,G20PREDBID,299975
Powhatan Courthouse,397,1726,29,4,G20PREDBID,299975
Mt Zion,328,915,17,2,G20PREDBID,299975
Smith Cross Roads,640,1085,23,1,G20PREDBID,299975
Pineville,477,732,18,0,G20PREDBID,299975
Tobaccoville,278,810,22,2,G20PREDBID,299975
Amissville,423,690,21,1,G20PREDBID,299975
Scrabble,334,513,11,1,G20PREDBID,299975
Partlow,708,2102,54,5,G20PREDBID,299975
Blaydes Corner,918,1925,29,9,G20PREDBID,299975
Massaponax,1148,1684,63,14,G20PREDBID,299975
Wilderness School,1158,1422,68,11,G20PREDBID,299975
Wilderness Fire,1219,1825,66,21,G20PREDBID,299975
Ni River / Elys Ford,596,1348,31,7,G20PREDBID,299975
Chancellor,1515,1544,56,9,G20PREDBID,299975
Plank Road,1592,1359,60,20,G20PREDBID,299975
Hazel Run,1472,1046,52,9,G20PREDBID,299975
Riverbend,1369,1786,49,16,G20PREDBID,299975
Salem,1670,1328,62,11,G20PREDBID,299975
Smith Station,2472,1729,70,18,G20PREDBID,299975
Piedmont,1201,931,37,5,G20PREDBID,299975
Courthouse,918,1311,41,16,G20PREDBID,299975
Brock,845,1739,52,11,G20PREDBID,299975
Belmont,742,1879,31,5,G20PREDBID,299975
Brokenburg,661,1560,35,0,G20PREDBID,299975
Post Oak,656,1650,25,2,G20PREDBID,299975
Rocky Run,1087,1035,49,18,G20PREDBID,299975
College,1735,2015,84,39,G20PREDBID,299975
District 4 - Precinct 2,1267,420,19,14,G20PREDBID,299975
One Hundred Four,994,745,16,17,G20PREDBID,299975
One Hundred Six,593,897,36,17,G20PREDBID,299975
Four Hundred Ten,1382,430,34,14,G20PREDBID,299975
Four Hundred Fourteen,881,586,21,8,G20PREDBID,299975
One Hundred Eleven,871,537,16,4,G20PREDBID,299975
One Hundred Twelve,696,372,23,12,G20PREDBID,299975
Four Hundred Thirteen,742,399,19,8,G20PREDBID,299975
Three Hundred Eight,739,245,17,14,G20PREDBID,299975
Three Hundred One,1081,39,7,6,G20PREDBID,299975
Three Hundred Nine,680,287,0,2,G20PREDBID,299975
Four Hundred Twelve,1412,313,30,14,G20PREDBID,299975
Nine Hundred Eight,1538,121,17,4,G20PREDBID,299975
Nine Hundred Eleven,1379,77,19,2,G20PREDBID,299975
Nine Hundred Ten,1557,161,14,8,G20PREDBID,299975
One Hundred One,915,249,16,14,G20PREDBID,299975
One Hundred Fifteen,759,567,31,8,G20PREDBID,299975
One Hundred Two,620,447,26,14,G20PREDBID,299975
Four Hundred Nine,783,637,24,6,G20PREDBID,299975
Four Hundred Fifteen,703,518,23,6,G20PREDBID,299975
Two Hundred Fifteen,1028,249,34,2,G20PREDBID,299975
Two Hundred Three,457,141,16,10,G20PREDBID,299975
Skinquarter,808,1389,60,8,G20PREDBID,299975
Magnolia,1507,2241,60,10,G20PREDBID,299975
Winfrees Store,537,1767,29,2,G20PREDBID,299975
Ridgedale,1822,382,29,8,G20PREDBID,299975
Genito,593,496,23,5,G20PREDBID,299975
Clover Hill,1276,1357,43,5,G20PREDBID,299975
Fife,588,980,30,4,G20PREDBID,299975
District 1,2572,1256,79,10,G20PREDBID,299975
District 3,1633,999,62,15,G20PREDBID,299975
Sperryville,451,428,2,5,G20PREDBID,299975
East Fairfax,1616,1026,35,9,G20PREDBID,299975
Lignum,522,888,21,2,G20PREDBID,299975
Pearl Sample,697,1194,43,7,G20PREDBID,299975
Brandy Station,865,1649,33,5,G20PREDBID,299975
Beaverdam,618,2163,48,13,G20PREDBID,299975
Rosebud,124,387,5,0,G20PREDBID,299975
Hounds Creek,529,318,4,0,G20PREDBID,299975
Meherrin Fire Department,241,240,2,0,G20PREDBID,299975
Victoria Public Library,186,259,2,0,G20PREDBID,299975
Shallow Well,891,1297,28,7,G20PREDBID,299975
Yanceyville,333,376,15,9,G20PREDBID,299975
Patrick Henry #1,1247,1008,39,9,G20PREDBID,299975
Goochland Court House 1,512,826,27,5,G20PREDBID,299975
Hadensville,735,1469,30,12,G20PREDBID,299975
Sandy Hook,1014,1168,25,3,G20PREDBID,299975
Sheltons Mill,620,1376,18,9,G20PREDBID,299975
South Anna,461,841,18,2,G20PREDBID,299975
Goochland Court House 2,285,445,17,0,G20PREDBID,299975
Patrick Henry #2,387,390,17,0,G20PREDBID,299975
Blair Road,764,970,34,7,G20PREDBID,299975
Manakin,910,1530,19,17,G20PREDBID,299975
Centerville,588,889,26,2,G20PREDBID,299975
Causeway,1171,892,33,9,G20PREDBID,299975
Nuckols Farm,1369,1346,55,29,G20PREDBID,299975
Lauderdale,1497,948,44,5,G20PREDBID,299975
Short Pump,808,732,19,5,G20PREDBID,299975
Shady Grove,1528,1576,36,11,G20PREDBID,299975
West End,1203,1137,43,15,G20PREDBID,299975
Rivers Edge,1470,1329,24,11,G20PREDBID,299975
Colonial Trail,1089,648,17,4,G20PREDBID,299975
Sadler,1422,1001,24,11,G20PREDBID,299975
Montpelier,1120,1493,30,4,G20PREDBID,299975
Locust Creek,585,1401,23,2,G20PREDBID,299975
Sullivans,1822,532,27,9,G20PREDBID,299975
Lockett,760,726,18,2,G20PREDBID,299975
Leigh,527,487,10,2,G20PREDBID,299975
Eight Hundred Six,1256,141,16,4,G20PREDBID,299975
Falling Creek,1764,533,23,13,G20PREDBID,299975
Drewrys Bluff,2132,949,23,3,G20PREDBID,299975
Eight Hundred Twelve,1810,278,19,4,G20PREDBID,299975
Ruckersville,1373,1790,62,6,G20PREDBID,299975
One West,740,1259,17,9,G20PREDBID,299975
Rochelle,291,542,15,1,G20PREDBID,299975
Oak Park,443,557,21,2,G20PREDBID,299975
Radiant,485,792,11,1,G20PREDBID,299975
Brightwood,343,1128,28,9,G20PREDBID,299975
Etlan,121,340,3,3,G20PREDBID,299975
Five Forks,2180,1106,55,3,G20PREDBID,299975
Southside,1229,314,13,5,G20PREDBID,299975
Jacobs,982,891,23,8,G20PREDBID,299975
St. Luke's,856,740,16,13,G20PREDBID,299975
Watkins,1402,1457,53,12,G20PREDBID,299975
Sycamore,1102,1091,57,10,G20PREDBID,299975
Hollybrook,669,221,7,0,G20PREDBID,299975
Moody,634,416,26,4,G20PREDBID,299975
Elmont,873,1524,30,17,G20PREDBID,299975
Three West,971,978,28,2,G20PREDBID,299975
Two West,538,1354,13,0,G20PREDBID,299975
One East,907,1108,29,4,G20PREDBID,299975
Parkside (CD 1),1506,1018,52,2,G20PREDBID,299975
Gayle (CD 1),110,232,14,0,G20PREDBID,299975
Fairview (CD 1),292,262,11,4,G20PREDBID,299975
Fairview (CD 7),631,561,18,7,G20PREDBID,299975
Parkside (CD 7),669,454,21,5,G20PREDBID,299975
Gayle (CD 7),1077,937,41,9,G20PREDBID,299975
Brents Mill (CD 1),1109,796,25,16,G20PREDBID,299975
Brents Mill (CD 7),837,658,19,5,G20PREDBID,299975
Travelers Rest (CD 7),1326,1801,51,18,G20PREDBID,299975
Travelers Rest (CD 1),22,0,0,0,G20PREDBID,299975
