PRECINCT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREUMCM,G16PREOOTH,Winner,Winner Votes
1310916904,725,235,55,14,12,8,G16PREDCLI,241248
1310916912,651,354,54,21,9,7,G16PREDCLI,241248
1310916937,552,335,45,8,7,3,G16PREDCLI,241248
1330716733,699,219,41,12,8,9,G16PREDCLI,241248
1310916935,992,524,146,20,21,16,G16PREDCLI,241248
1330716744,1847,440,138,17,16,5,G16PREDCLI,241248
6293603546,451,249,35,7,9,10,G16PREDCLI,241248
6294203526,395,163,30,13,4,8,G16PREDCLI,241248
6294203525,403,178,31,11,2,6,G16PREDCLI,241248
6293603547,424,327,35,3,4,8,G16PREDCLI,241248
6294203507,389,141,29,13,2,10,G16PREDCLI,241248
6293603545,199,62,12,12,1,3,G16PREDCLI,241248
6294203533,716,249,30,12,6,12,G16PREDCLI,241248
6263803152,395,305,27,7,3,7,G16PREDCLI,241248
6294203524,350,188,31,12,3,7,G16PREDCLI,241248
6294203532,547,122,36,12,5,5,G16PREDCLI,241248
6294203510,326,187,24,8,4,1,G16PREDCLI,241248
6294203509,286,154,19,10,3,4,G16PREDCLI,241248
6294203523,559,321,38,8,7,10,G16PREDCLI,241248
6294203512,525,122,20,14,5,7,G16PREDCLI,241248
6294203513,496,151,38,10,6,5,G16PREDCLI,241248
6293603544,558,176,37,21,0,8,G16PREDCLI,241248
6294203535,452,191,23,11,6,7,G16PREDCLI,241248
6294203534,483,78,29,16,2,5,G16PREDCLI,241248
6294203521,395,180,22,9,4,5,G16PREDCLI,241248
6294203520,389,243,32,8,3,7,G16PREDCLI,241248
6294203522,433,247,34,15,5,6,G16PREDCLI,241248
6294203515,447,233,36,7,4,6,G16PREDCLI,241248
6293603542,356,90,19,15,1,3,G16PREDCLI,241248
6293603541,371,132,27,5,5,7,G16PREDCLI,241248
6293603543,438,200,20,6,11,10,G16PREDCLI,241248
6293603552,434,144,33,14,0,7,G16PREDCLI,241248
6293603553,591,299,39,14,7,10,G16PREDCLI,241248
6294203518,336,137,17,10,2,9,G16PREDCLI,241248
6294203519,337,140,27,3,9,3,G16PREDCLI,241248
6294203536,352,94,25,5,2,3,G16PREDCLI,241248
6293603540,311,204,21,3,7,12,G16PREDCLI,241248
6293603555,441,195,34,10,4,10,G16PREDCLI,241248
6293603554,485,264,40,16,2,12,G16PREDCLI,241248
6293603539,504,249,44,14,5,14,G16PREDCLI,241248
6293603538,491,287,38,9,3,11,G16PREDCLI,241248
6293603537,542,212,43,22,8,9,G16PREDCLI,241248
6284203435,589,289,47,10,5,14,G16PREDCLI,241248
6284203434,546,253,45,8,5,10,G16PREDCLI,241248
6284103433,445,238,36,9,10,3,G16PREDCLI,241248
6284103432,609,187,48,8,7,15,G16PREDCLI,241248
6293603559,353,273,44,13,4,4,G16PREDCLI,241248
6293603558,456,222,23,3,10,12,G16PREDCLI,241248
6264103417,536,249,41,9,4,10,G16PREDCLI,241248
6283603343,622,521,78,18,16,14,G16PREDCLI,241248
6283603341,829,736,122,24,22,24,G16PREDCLI,241248
6284203436,717,173,44,22,4,5,G16PREDCLI,241248
6284103431,293,152,29,5,1,4,G16PREDCLI,241248
6264103418,448,240,26,17,9,11,G16PREDCLI,241248
6264103412,386,125,30,9,0,5,G16PREDCLI,241248
6293603560,205,98,24,5,3,2,G16PREDCLI,241248
6293603474,320,155,32,14,5,9,G16PREDCLI,241248
6284103437,593,344,36,17,8,12,G16PREDCLI,241248
6284003473,713,407,55,10,4,21,G16PREDCLI,241248
6284003472,482,276,50,11,5,13,G16PREDCLI,241248
6284103471,376,300,46,7,7,8,G16PREDCLI,241248
6284103470,534,272,51,14,8,6,G16PREDCLI,241248
6284103438,363,287,44,9,2,12,G16PREDCLI,241248
6284103430,521,237,42,12,6,11,G16PREDCLI,241248
6284103429,483,197,37,11,5,8,G16PREDCLI,241248
6284103420,832,341,51,14,15,7,G16PREDCLI,241248
6284103427,682,451,33,18,12,15,G16PREDCLI,241248
6284103469,348,180,43,8,8,13,G16PREDCLI,241248
6284103428,499,274,37,12,7,10,G16PREDCLI,241248
6284103439,379,310,48,9,12,5,G16PREDCLI,241248
6284103422,318,183,22,9,3,5,G16PREDCLI,241248
6284103421,272,163,19,8,3,4,G16PREDCLI,241248
6284003302,525,411,39,12,5,13,G16PREDCLI,241248
6284103301,292,181,19,9,6,5,G16PREDCLI,241248
6284103444,237,219,28,6,6,5,G16PREDCLI,241248
6284003315,551,442,89,29,12,10,G16PREDCLI,241248
6284003304,364,258,25,17,9,10,G16PREDCLI,241248
6284003303,402,270,36,11,9,10,G16PREDCLI,241248
6284103468,296,266,42,7,8,8,G16PREDCLI,241248
6284103467,365,264,39,13,12,9,G16PREDCLI,241248
6284103440,360,331,18,2,1,9,G16PREDCLI,241248
6264103442,329,301,19,1,9,4,G16PREDCLI,241248
6264103426,357,224,23,5,6,5,G16PREDCLI,241248
6284003313,403,346,54,14,8,11,G16PREDCLI,241248
6284003314,298,221,42,11,10,8,G16PREDCLI,241248
6284103441,343,402,7,0,6,1,G16PREDCLI,241248
6264103443,256,220,12,5,2,6,G16PREDCLI,241248
6284103465,242,252,32,6,14,6,G16PREDCLI,241248
6284103445,279,212,29,11,4,9,G16PREDCLI,241248
6284103466,343,272,32,11,6,6,G16PREDCLI,241248
6284003306,310,326,29,11,4,7,G16PREDCLI,241248
6284003318,367,200,54,14,8,14,G16PREDCLI,241248
6284003316,297,230,34,9,18,6,G16PREDCLI,241248
6284003267,403,372,39,13,9,10,G16PREDCLI,241248
6284003309,517,404,59,11,8,9,G16PREDCLI,241248
6284003308,474,320,58,12,11,10,G16PREDCLI,241248
6284003464,390,264,45,14,1,10,G16PREDCLI,241248
6284003462,495,379,61,19,6,6,G16PREDCLI,241248
6284003447,424,191,48,14,11,4,G16PREDCLI,241248
6284003446,324,293,25,11,9,3,G16PREDCLI,241248
6284003317,377,314,54,13,12,11,G16PREDCLI,241248
6284003463,542,487,74,19,7,18,G16PREDCLI,241248
6284003266,372,364,50,6,12,10,G16PREDCLI,241248
6284003265,404,251,54,11,7,14,G16PREDCLI,241248
6284003448,747,450,69,23,11,12,G16PREDCLI,241248
6284003319,302,268,55,10,8,16,G16PREDCLI,241248
6284003461,507,361,77,14,4,8,G16PREDCLI,241248
6284003449,356,198,33,11,5,5,G16PREDCLI,241248
6284003268,345,287,41,6,8,6,G16PREDCLI,241248
6284003269,406,270,42,23,9,12,G16PREDCLI,241248
6284003459,302,257,54,6,8,12,G16PREDCLI,241248
6284003460,462,271,49,9,4,8,G16PREDCLI,241248
6284003451,176,177,29,12,9,3,G16PREDCLI,241248
1260303131,403,444,36,2,6,1,G16PREDCLI,241248
6284003452,323,248,30,4,16,13,G16PREDCLI,241248
6284003450,825,520,103,22,18,12,G16PREDCLI,241248
