resultspre,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREIPIE,G20PREIWES,G20PREIMCH,G20PREILAR,G20PREOWRI,Winner,Winner Votes
MODE,23,6,0,0,0,0,0,0,0,0,G20PRERTRU,218423
NEWCSL,210,16,2,0,1,0,0,0,0,2,G20PRERTRU,218423
PARAGO,285,36,11,0,2,0,1,1,0,12,G20PRERTRU,218423
PARN,755,111,7,1,7,4,3,0,0,6,G20PRERTRU,218423
PARS,606,139,15,1,3,0,4,0,0,16,G20PRERTRU,218423
PARV,165,16,2,0,0,0,0,0,0,4,G20PRERTRU,218423
SUM,164,29,1,0,2,0,0,0,0,4,G20PRERTRU,218423
CA11,31,10,1,0,0,0,0,0,0,0,G20PRERTRU,218423
EU1,56,29,0,0,0,0,0,0,0,0,G20PRERTRU,218423
EU2,69,34,4,0,0,0,0,0,0,0,G20PRERTRU,218423
EU3,98,30,4,0,3,0,0,0,0,0,G20PRERTRU,218423
EU4,43,13,3,0,2,0,0,1,0,0,G20PRERTRU,218423
EU5,24,5,0,0,0,0,0,0,0,1,G20PRERTRU,218423
LE06,478,49,5,0,2,0,0,1,0,2,G20PRERTRU,218423
NE03.2,410,41,12,1,0,0,2,1,0,6,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Alton,86,10,2,0,0,0,0,0,0,0,G20PRERTRU,218423
Bullfrog,12,13,2,0,0,0,0,0,0,0,G20PRERTRU,218423
Big Water,133,61,4,1,1,3,0,0,0,4,G20PRERTRU,218423
CM,190,39,2,0,1,0,0,1,0,1,G20PRERTRU,218423
CWB,45,14,1,0,0,0,0,0,0,0,G20PRERTRU,218423
CWC,12,8,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Glendale,206,22,2,0,2,0,1,0,0,0,G20PRERTRU,218423
Kanab 1,373,117,9,2,2,1,3,0,0,1,G20PRERTRU,218423
Kanab 2,462,240,4,3,2,0,4,0,0,3,G20PRERTRU,218423
Kanab 3,596,212,9,1,5,1,1,1,0,7,G20PRERTRU,218423
Kanab 4,542,305,10,0,3,1,4,0,0,6,G20PRERTRU,218423
Orderville,341,42,6,1,0,1,2,0,0,3,G20PRERTRU,218423
Abraham 14,75,5,2,0,1,0,0,0,0,0,G20PRERTRU,218423
Delta 17,748,76,6,0,2,1,2,1,0,6,G20PRERTRU,218423
Delta 18,829,93,10,0,2,3,1,0,0,26,G20PRERTRU,218423
Deseret-Oasis,318,30,8,0,0,0,0,0,0,0,G20PRERTRU,218423
Fillmore 1,601,91,4,2,3,5,3,1,0,6,G20PRERTRU,218423
Fillmore 2,393,67,3,0,4,1,1,1,1,0,G20PRERTRU,218423
Flowell 25,125,10,0,0,0,0,1,0,0,0,G20PRERTRU,218423
Garrison 16,59,7,3,0,0,0,0,0,0,0,G20PRERTRU,218423
Hinckley 11,291,26,4,1,0,1,1,0,0,6,G20PRERTRU,218423
Holden 8,296,22,2,0,2,3,2,0,0,0,G20PRERTRU,218423
Kanosh 4,334,50,5,0,5,0,1,0,0,0,G20PRERTRU,218423
Leamington 7,128,20,2,0,0,0,0,2,0,2,G20PRERTRU,218423
Lynndyl 19,54,14,1,1,2,0,2,0,0,0,G20PRERTRU,218423
Meadow 3,198,19,3,0,1,0,0,1,0,2,G20PRERTRU,218423
Oak City 6,401,37,3,1,3,0,2,0,0,4,G20PRERTRU,218423
Scipio 9,189,37,6,0,1,0,0,0,0,0,G20PRERTRU,218423
Sutherland 20,365,20,2,0,0,0,0,0,0,8,G20PRERTRU,218423
9:3,356,41,8,0,0,1,3,0,0,5,G20PRERTRU,218423
Circleville 3,110,12,0,0,0,0,0,0,1,0,G20PRERTRU,218423
Circleville 5,145,4,1,0,1,0,0,0,0,0,G20PRERTRU,218423
Greenwich,63,6,0,0,0,0,1,0,0,1,G20PRERTRU,218423
Junction,99,13,1,0,0,0,1,0,0,0,G20PRERTRU,218423
Kingston,111,8,1,0,0,0,0,0,0,0,G20PRERTRU,218423
Marysvale,245,43,4,0,0,0,1,0,0,2,G20PRERTRU,218423
EMG001,199,855,12,2,0,0,3,0,1,9,G20PRERTRU,218423
GSL001,18,8,1,0,0,0,0,0,0,0,G20PRERTRU,218423
KRN007,58,63,4,2,1,1,0,0,0,0,G20PRERTRU,218423
KRN008,170,236,11,2,0,1,3,0,0,2,G20PRERTRU,218423
KRN010,260,337,16,4,3,1,2,2,1,2,G20PRERTRU,218423
KRN011,402,317,23,8,4,6,3,3,2,8,G20PRERTRU,218423
KRN012,137,155,8,2,0,0,5,0,1,2,G20PRERTRU,218423
KRN014,19,37,3,0,0,0,1,0,0,1,G20PRERTRU,218423
MAG001,365,320,26,12,6,3,5,3,0,5,G20PRERTRU,218423
MAG003,300,334,18,4,5,4,4,2,2,3,G20PRERTRU,218423
MAG004,266,230,19,2,3,0,5,3,0,5,G20PRERTRU,218423
MAG005,500,404,32,8,2,3,11,0,2,0,G20PRERTRU,218423
MAG006,261,256,16,4,4,1,1,3,0,4,G20PRERTRU,218423
MAG007,308,282,13,4,0,3,5,0,1,5,G20PRERTRU,218423
MAG009,439,438,32,3,6,7,9,0,0,6,G20PRERTRU,218423
MAG010,481,403,27,2,3,1,6,1,0,9,G20PRERTRU,218423
MAG011,461,446,13,6,6,2,7,1,0,7,G20PRERTRU,218423
MAG012,265,306,13,2,7,0,2,2,0,2,G20PRERTRU,218423
MAG013,217,166,16,1,3,1,6,1,2,1,G20PRERTRU,218423
MAG014,345,281,24,4,1,3,4,0,2,4,G20PRERTRU,218423
MAG015,302,287,14,5,3,1,4,5,4,7,G20PRERTRU,218423
MAG016,386,367,21,8,4,1,3,6,2,2,G20PRERTRU,218423
MAG901,4,5,0,0,0,0,0,0,0,0,G20PRERTRU,218423
MIL032,273,655,12,1,2,0,3,0,0,11,G20PRERTRU,218423
MIL038,128,528,8,1,0,1,5,1,0,6,G20PRERTRU,218423
MOL009,0,4,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
PCN001,4,10,0,0,0,0,0,0,0,0,G20PRERTRU,218423
SLC001,9,13,0,0,0,0,0,0,0,0,G20PRERTRU,218423
SLC002,224,515,21,1,0,0,5,0,4,4,G20PRERTRU,218423
SLC003,225,572,15,3,0,5,5,0,3,8,G20PRERTRU,218423
SLC004,144,347,8,2,1,0,3,2,2,3,G20PRERTRU,218423
SLC005,191,467,18,6,0,1,10,1,0,4,G20PRERTRU,218423
SLC006,81,378,16,2,1,0,2,0,1,2,G20PRERTRU,218423
SLC007,223,465,19,6,3,3,3,1,1,4,G20PRERTRU,218423
SLC008,50,159,9,1,1,1,4,1,0,3,G20PRERTRU,218423
SLC009,250,674,12,12,5,3,5,3,1,10,G20PRERTRU,218423
SLC010,76,171,3,1,0,0,1,0,0,0,G20PRERTRU,218423
SLC011,197,565,16,4,1,1,4,3,2,8,G20PRERTRU,218423
SLC012,246,704,14,4,7,5,8,2,3,8,G20PRERTRU,218423
SLC013,87,339,12,0,0,0,3,0,0,5,G20PRERTRU,218423
SLC014,132,353,10,3,1,2,2,1,2,4,G20PRERTRU,218423
SLC015,300,732,10,9,3,5,0,2,3,7,G20PRERTRU,218423
SLC017,82,260,0,0,1,1,1,0,0,4,G20PRERTRU,218423
SLC018,196,694,15,7,2,2,11,2,2,2,G20PRERTRU,218423
